native_language,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
zulu,0.12,0.212,0.024,0.575,0.05,0.297,0.286,0.738,0.08,0.201,0.405,0.713,0.06,0.221,0.214,0.744,0.09,0.171,0.619,0.644,0.12,0.179,0.024,0.781,0.487
yupik,0.4,0.13,0.071,1.0,0.06,0.225,0.976,0.988,0.08,0.197,0.929,0.944,0.08,0.223,0.976,0.919,0.06,0.194,0.857,0.975,0.09,0.196,0.929,0.988,0.975
yoruba,0.11,0.203,0.952,0.794,0.08,0.175,0.976,0.975,0.08,0.188,0.952,0.963,0.11,0.194,0.048,0.938,0.08,0.202,0.929,0.95,0.29,0.167,0.976,0.963,1.0
yoruba,0.09,0.213,0.857,0.731,0.05,0.203,0.833,0.781,0.18,0.14,0.786,0.487,0.08,0.205,0.976,0.8,0.06,0.189,0.476,0.556,0.22,0.166,0.405,0.625,0.669
yiddish,0.15,0.143,0.167,0.713,0.08,0.178,0.452,0.494,0.14,0.187,0.69,0.912,0.12,0.186,0.786,0.731,0.06,0.175,0.524,0.6,0.05,0.178,0.214,0.0,0.0
yoruba,0.11,0.195,0.0,0.706,0.08,0.204,0.143,0.494,0.06,0.175,0.762,0.631,0.14,0.189,0.119,0.863,0.06,0.201,0.905,0.644,0.66,0.13,0.929,0.919,0.819
yoruba,0.42,0.138,0.024,0.644,0.11,0.164,0.762,0.306,0.17,0.173,0.952,1.0,0.06,0.21,0.048,0.906,0.09,0.193,0.667,0.531,0.14,0.189,0.405,0.881,0.506
yoruba,0.15,0.25,0.024,0.519,0.12,0.165,0.0,0.0,0.05,0.166,0.81,0.669,0.09,0.2,0.524,0.769,0.08,0.194,0.643,0.581,0.23,0.169,0.238,0.85,0.637
yakut,0.09,0.224,0.976,0.831,0.05,0.284,0.976,1.0,0.06,0.207,0.905,0.0,0.11,0.219,0.976,0.744,0.09,0.175,0.857,0.0,0.12,0.165,0.905,0.869,0.519
yiddish,0.69,0.124,0.024,0.863,0.08,0.273,0.0,0.531,0.06,0.222,0.976,0.981,0.11,0.201,0.976,0.975,0.14,0.156,0.476,1.0,0.12,0.166,0.238,0.738,0.925
yiddish,0.11,0.168,0.0,0.0,0.06,0.196,0.976,0.731,0.09,0.232,0.976,0.988,0.11,0.193,0.976,0.869,0.05,0.199,0.881,1.0,0.11,0.195,0.952,0.931,1.0
yiddish,0.09,0.258,0.881,0.925,0.05,0.269,0.976,1.0,0.08,0.217,0.976,0.644,0.11,0.212,0.976,0.963,0.09,0.175,0.5,0.0,0.17,0.17,0.952,0.838,0.963
yapese,0.08,0.202,0.976,0.794,0.06,0.246,0.976,1.0,0.05,0.194,0.786,0.931,0.09,0.2,0.905,0.794,0.09,0.176,0.857,0.0,0.15,0.177,0.952,0.894,0.9
xiang,0.12,0.159,0.024,0.956,0.06,0.284,0.976,0.0,0.06,0.181,0.762,0.0,0.11,0.216,0.976,0.819,0.08,0.172,0.786,1.0,0.12,0.163,0.929,0.95,0.988
yiddish,0.11,0.162,0.024,0.706,0.15,0.169,0.357,0.431,0.11,0.188,0.238,0.694,0.12,0.179,0.405,0.844,0.06,0.165,0.524,0.669,0.28,0.149,0.024,0.688,0.438
xiang,0.14,0.161,0.024,0.45,0.05,0.2,0.476,0.919,0.05,0.178,0.714,0.556,0.11,0.199,0.548,0.975,0.11,0.178,0.952,0.875,0.18,0.165,0.024,0.831,0.5
xiang,0.22,0.202,0.976,1.0,0.08,0.245,0.976,1.0,0.06,0.208,0.857,0.95,0.08,0.219,0.976,0.938,0.08,0.175,0.548,1.0,0.15,0.161,0.881,0.787,0.944
xiang,0.12,0.164,0.262,0.537,0.12,0.158,0.857,0.6,0.05,0.198,0.643,0.0,0.11,0.189,0.167,0.781,0.08,0.182,0.524,0.675,0.4,0.144,0.405,0.706,0.738
wu,0.08,0.188,0.833,0.769,0.11,0.212,0.905,0.887,0.05,0.201,0.929,0.95,0.08,0.204,0.262,0.812,0.05,0.211,0.929,0.694,0.32,0.16,0.929,0.938,0.988
wolof,0.45,0.134,0.095,0.956,0.06,0.257,0.048,0.369,0.09,0.202,0.357,0.719,0.12,0.186,0.071,0.7,0.06,0.181,0.548,0.537,0.11,0.178,0.048,0.894,0.544
xasonga,0.17,0.151,0.476,0.694,0.45,0.137,0.976,0.806,0.05,0.209,0.0,0.0,0.12,0.193,0.381,0.856,0.14,0.167,0.381,0.0,0.52,0.139,0.214,0.756,0.525
wolof,0.31,0.141,0.048,0.944,0.09,0.203,0.048,0.0,0.06,0.195,0.786,0.988,0.08,0.205,0.952,0.944,0.08,0.184,0.0,0.0,0.12,0.193,0.952,0.912,1.0
wolof,0.05,0.166,0.619,0.831,0.11,0.177,0.952,0.531,0.05,0.204,0.929,0.975,0.12,0.174,0.048,0.769,0.09,0.18,0.667,0.506,0.45,0.141,0.095,0.856,0.562
wolof,0.08,0.219,0.095,0.806,0.05,0.297,0.857,0.594,0.05,0.208,0.119,0.0,0.12,0.2,0.667,0.731,0.09,0.179,0.405,0.719,0.17,0.185,0.024,0.838,0.512
wolof,0.12,0.247,0.31,0.681,0.05,0.26,0.333,0.694,0.06,0.215,0.571,0.838,0.09,0.206,0.167,0.656,0.06,0.176,0.571,0.556,0.12,0.158,0.333,0.812,0.688
